url,username,password,totp,extra,name,grouping,fav
https://account.proton.me,nobody@proton.me,proton123,,Secure note,nobody,,0
https://proton.me,admin,proton123,,,Admin,company services,0
https://twitter.com/login,@nobody,proton123,base32secret,This is a twitter note,Twitter,company services,0
https://fb.com/login,@nobody,proton123,base32secret,,,company services,0
http://sn,,,,This is a secure note,Secure note,,0
htts:/broken.url,,,,,,company services,0
http://sn,,,,"NoteType:Bank Account
Language:en-GB
Bank Name:test
Account Type:test
Routing Number:
Account Number:333333
SWIFT Code:
IBAN Number:
Pin:
Branch Address:
Branch Phone:
Notes:",test,,0
http://sn,,,,"NoteType:Address
Language:en-GB
Title:mrs
First Name:Test
Middle Name:Joe
Last Name:Test
Username:
Gender:
Birthday:,,
Company:
Address 1:
Address 2:
Address 3:
City / Town:
County:
State:
Zip / Postal Code:
Country:
Timezone:
Email Address:
Phone:
Evening Phone:
Mobile Phone:
Fax:
Notes:",TestID,,0
http://sn,,,,"NoteType:Credit Card
Language:en-GB
Name on Card:A B
Type:Visa
Number:4242424242424242
Security Code:123
Start Date:,
Expiration Date:January,2025
Notes:this is a note for the credit card",Credit Card Item with note,,0
http://sn,,,,"NoteType:SSH Key
Language:en-US
Bit Strength:1
Format:format
Passphrase:password123
Private Key:ab
Public Key:cd
Hostname:example.com
Date:January,31,2001
Notes:notes",ssh,,0
http://sn,,,,"NoteType:Custom_657088934083173965
Language:en-US
text:value
text with copy:value
date:January,31,2001
date no day:January,31
my password:password123
Notes:line1 with quote ""
line2",new custom item,,0
http://sn,,,,"NoteType:Wi-Fi Password
Language:en-US
SSID:my-ssid
Password:password123
Connection Type:type
Connection Mode:mode
Authentication:
Encryption:
Use 802.1X:
FIPS Mode:
Key Type:
Protected:hope so
Key Index:
Notes:",wifi,,0
