name,url,username,password,note,cardholdername,cardnumber,cvc,expirydate,zipcode,folder,full_name,phone_number,email,address1,address2,city,country,state,type
company services,,,,,,,,,,,,,,,,,,,folder
nobody,https://account.proton.me,nobody@proton.me,proton123,Secure note,,,,,,,,,,,,,,,password
Secure note,,,,This is a secure note,,,,,,,,,,,,,,,note
test,,,,"Bank Name: test

Account Type: test

Account Number: 333333",,,,,,,,,,,,,,,note
Credit Card Item with note,,,,this is a note for the credit card,A B,4242424242424242,123,01/25,19412,,,,,,,,,,credit_card
:title:,,,,:note:,,,,,:zip:,,:full-name:,:phone-number:,:email:,:address-1:,:address-2:,:city:,Côte d'Ivoire,:state:,identity
Admin,https://proton.me,admin,proton123,,,,,,,company services,,,,,,,,,password
Twitter,https://twitter.com/login,@nobody,proton123,This is a twitter note,,,,,,company services,,,,,,,,,password
fb.com,https://fb.com/login,@nobody,proton123,,,,,,,company services,,,,,,,,,password
htts,htts:/broken.url,,,,,,,,,company services,,,,,,,,,password
